"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press"
"vsl-grid-scene-snap","75","414328","0.0-5.0-2.0-17.0","","","[[0,""img/obj9.png"",0],[""img/obj12.png"",0,""img/obj7.png""],[""img/obj11.png"",""img/obj6.png"",""img/obj10.png""]]","","","3,2,1,1,3,4,2,1,5","134",""
"vsl-grid-scene-snap","76","419326","0.0-5.0-2.0-18.0","","","[[""img/obj7.png"",""img/obj11.png"",""img/obj6.png""],[""img/obj10.png"",""img/obj4.png"",0],[0,0,""img/obj3.png""]]","","","1,1,1,2,1,4,2,2,6","10",""
"vsl-grid-scene-snap","77","424325","0.0-5.0-2.0-19.0","","","[[""img/obj4.png"",0,""img/obj5.png""],[0,""img/obj3.png"",""img/obj2.png""],[0,""img/obj8.png"",""img/obj1.png""]]","","","3,1,2,2,3,3,1,1,6","93",""
"vsl-grid-scene-snap","78","429324","0.0-5.0-2.0-20.0","","","[[""img/obj8.png"",""img/obj1.png"",""img/obj5.png""],[0,""img/obj4.png"",""img/obj2.png""],[0,0,""img/obj3.png""]]","","","3,1,2,1,1,3,2,2,6","81",""
"vsl-grid-scene-snap","79","434333","0.0-5.0-2.0-21.0","","","[[0,""img/obj9.png"",""img/obj5.png""],[""img/obj12.png"",0,""img/obj2.png""],[0,""img/obj8.png"",""img/obj1.png""]]","","","3,1,2,2,3,3,2,1,5","89",""
"vsl-grid-scene-snap","80","439331","0.0-5.0-2.0-22.0","","","[[0,0,""img/obj5.png""],[0,""img/obj4.png"",""img/obj2.png""],[""img/obj8.png"",""img/obj1.png"",""img/obj3.png""]]","","","3,1,2,1,3,3,2,2,6","105",""
"vsl-grid-scene-snap","81","444329","0.0-5.0-2.0-23.0","","","[[""img/obj11.png"",""img/obj6.png"",""img/obj5.png""],[0,""img/obj4.png"",""img/obj2.png""],[0,0,""img/obj3.png""]]","","","3,1,2,1,1,4,2,2,6","83",""
"vsl-grid-scene-snap","82","449328","0.0-5.0-2.0-24.0","","","[[""img/obj4.png"",0,""img/obj7.png""],[0,""img/obj3.png"",""img/obj10.png""],[""img/obj11.png"",""img/obj6.png"",0]]","","","3,1,1,1,3,4,1,1,6","102",""
"vsl-grid-scene-snap","83","454326","0.0-5.0-2.0-25.0","","","[[""img/obj11.png"",""img/obj6.png"",""img/obj9.png""],[""img/obj7.png"",""img/obj12.png"",0],[""img/obj10.png"",0,0]]","","","1,2,1,1,1,4,3,1,5","66",""
"vsl-grid-scene-snap","84","459324","0.0-5.0-2.0-26.0","","","[[""img/obj8.png"",""img/obj1.png"",0],[""img/obj5.png"",0,""img/obj9.png""],[""img/obj2.png"",""img/obj12.png"",0]]","","","1,2,2,1,1,3,3,2,5","61",""
